iter	Logloss
0	0.6927745437
1	0.6924085643
2	0.6920258208
3	0.6916436477
4	0.6912732302
5	0.690899705
6	0.6905349327
7	0.6901630419
8	0.6898079771
9	0.6894590027
10	0.6891061499
11	0.6887485835
12	0.68837703
13	0.6880217852
14	0.6876621665
15	0.687287382
16	0.6869167417
17	0.6865588288
18	0.686189278
19	0.685828069
20	0.685456578
21	0.6850928086
22	0.6847230233
23	0.6843609085
24	0.6840000603
25	0.6836286844
26	0.6832753936
27	0.6829240136
28	0.6825729711
29	0.6822077352
30	0.681847501
31	0.6814813522
32	0.681124473
33	0.6807627031
34	0.6804089368
35	0.6800623945
36	0.6797033014
37	0.6793374379
38	0.6789719131
39	0.6786183826
40	0.6782534789
41	0.6778946017
42	0.6775323212
43	0.6771788988
44	0.6768337254
45	0.6764820655
46	0.6761246774
47	0.6757697207
48	0.6754108388
49	0.6750534433
50	0.6747078114
51	0.6743529309
52	0.6739946225
53	0.6736414281
54	0.6732904031
55	0.6729473231
56	0.6725920814
57	0.6722349158
58	0.6718864461
59	0.6715258688
60	0.671179004
61	0.6708185416
62	0.6704694417
63	0.6701359092
64	0.669769878
65	0.6694306048
66	0.6690794008
67	0.6687294973
68	0.6683793687
69	0.6680270965
70	0.6676772149
71	0.6673206818
72	0.6669864853
73	0.6666256833
74	0.6662727762
75	0.6659219707
76	0.6655765068
77	0.665233875
78	0.6648863679
79	0.664544872
80	0.6642071495
81	0.6638608862
82	0.6635188386
83	0.6631643987
84	0.6628179907
85	0.6624726923
86	0.6621266249
87	0.6617779936
88	0.6614361106
89	0.6610962156
90	0.6607544042
91	0.6604042256
92	0.6600545037
93	0.6597030757
94	0.6593503991
95	0.6590101137
96	0.6586665916
97	0.6583278911
98	0.6579831061
99	0.6576321868
100	0.6572812752
101	0.6569330969
102	0.6565796779
103	0.6562329804
104	0.655889161
105	0.6555462498
106	0.6552103409
107	0.6548623936
108	0.6545198233
109	0.6541770354
110	0.6538389215
111	0.6534906745
112	0.6531581318
113	0.6528189314
114	0.6524763736
115	0.6521370519
116	0.6518064703
117	0.6514598757
118	0.6511170297
119	0.6507849901
120	0.6504504394
121	0.6501075896
122	0.6497757124
123	0.6494392789
124	0.6491038758
125	0.6487571119
126	0.6484167635
127	0.6480790496
128	0.6477445515
129	0.6474052873
130	0.6470699423
131	0.6467360799
132	0.6464032299
133	0.646055386
134	0.6457288115
135	0.6453955713
136	0.6450615362
137	0.6447186301
138	0.6443812981
139	0.6440494745
140	0.6437168701
141	0.6433921106
142	0.6430544944
143	0.6427299672
144	0.6424015549
145	0.6420672503
146	0.6417460574
147	0.6414136038
148	0.6410882132
149	0.6407487202
150	0.6404139511
151	0.6400746355
152	0.6397428825
153	0.6394235633
154	0.6391020445
155	0.6387743226
156	0.6384526704
157	0.638116543
158	0.6377915509
159	0.6374684753
160	0.6371506307
161	0.6368305877
162	0.6364994514
163	0.6361714955
164	0.6358369504
165	0.6355096841
166	0.6351849088
167	0.6348488866
168	0.6345262759
169	0.6342008362
170	0.633867088
171	0.6335368612
172	0.6332052716
173	0.6328755011
174	0.6325618839
175	0.6322468253
176	0.6319235849
177	0.6315947232
178	0.6312720545
179	0.6309504083
180	0.6306481493
181	0.6303177026
182	0.6300169261
183	0.6296918088
184	0.6293646468
185	0.6290385067
186	0.6287191832
187	0.6284025336
188	0.6280846452
189	0.6277681888
190	0.6274467121
191	0.6271335286
192	0.6268064029
193	0.6264871942
194	0.62617225
195	0.6258503774
196	0.6255336756
197	0.62523006
198	0.6249112545
199	0.6245905135
200	0.6242664313
201	0.6239523597
202	0.6236354301
203	0.6233187241
204	0.6230094672
205	0.6226845926
206	0.6223787964
207	0.622065218
208	0.6217476184
209	0.621433084
210	0.6211174228
211	0.6208062911
212	0.6204953213
213	0.6201849334
214	0.6198754026
215	0.6195617748
216	0.6192458216
217	0.6189278804
218	0.6186183953
219	0.6183074308
220	0.6179918046
221	0.6176900069
