iter	MultiClass
177	0.8895674415
178	0.8893155626
179	0.8891960871
180	0.8889130661
181	0.8884751714
182	0.8881440179
183	0.8878803638
184	0.8874163121
185	0.8871465303
186	0.8869138544
187	0.8864790066
188	0.8862920698
189	0.8859631994
190	0.8855154929
191	0.8853825656
192	0.8852227041
193	0.8848357011
194	0.8843935073
195	0.8839747432
196	0.8835153085
197	0.883025041
198	0.882779422
199	0.8826548528
200	0.8822821334
201	0.8819960667
202	0.8816649712
203	0.881177017
204	0.8806631154
205	0.8803277872
206	0.8801585706
207	0.8799628567
208	0.8797881924
209	0.8795144658
210	0.87940175
211	0.8790875175
212	0.8787801882
213	0.8784769642
214	0.878038444
215	0.8777755064
216	0.8775158921
217	0.8772507035
218	0.877051342
219	0.8767188265
220	0.8765787316
221	0.8763872852
222	0.8761016012
223	0.8759939491
224	0.8758488768
225	0.8756126563
226	0.8754874931
227	0.8752529698
228	0.8750214528
229	0.8748169175
230	0.8745988219
231	0.8742746277
232	0.873960445
233	0.8737100218
234	0.8734762058
235	0.8733062965
236	0.8730009325
237	0.872685548
238	0.8725613678
239	0.8723517854
240	0.8721105914
241	0.8719928562
242	0.8718283646
243	0.8716395695
244	0.8715943734
245	0.8713791024
246	0.8711908651
247	0.870768991
248	0.8705881189
249	0.8703306976
250	0.8700706398
251	0.8698254847
252	0.8695980448
253	0.8694816595
254	0.8692110523
255	0.8690915201
256	0.8690187001
257	0.8689428165
258	0.8687602271
259	0.8685107141
260	0.8683117811
261	0.8681859844
262	0.8679167088
263	0.8677530241
264	0.8675086039
265	0.8672652217
266	0.8669652777
267	0.8668613423
268	0.866820185
269	0.8666689996
270	0.8664481955
271	0.8660881588
272	0.8657821361
273	0.8656609864
274	0.8653757348
275	0.8651809336
276	0.8650330461
277	0.8647570771
278	0.8646000188
279	0.8644641849
280	0.8642490052
281	0.8640691061
282	0.863860137
283	0.8637037865
284	0.8634700635
285	0.8632386336
286	0.8631736443
287	0.8630982807
288	0.8629401064
289	0.8626917094
290	0.8625460513
291	0.8623499567
292	0.8623011605
293	0.8622299157
294	0.8620592027
295	0.8618139545
296	0.8617092144
297	0.861613972
298	0.8614785786
299	0.8612844698
300	0.861216089
301	0.8610693332
302	0.860855757
303	0.8607477086
304	0.860570117
305	0.8605221
306	0.8603129391
307	0.8601153875
308	0.8599808174
309	0.8598650771
310	0.8598029096
311	0.8596583209
312	0.8595731126
313	0.8594653006
314	0.8593815036
315	0.8592758213
316	0.8591720028
317	0.859021001
318	0.8588479006
319	0.8587929887
320	0.8586574877
321	0.8583482358
322	0.8582001968
323	0.8580157589
324	0.8579388416
325	0.8577985528
326	0.8577520279
327	0.8576004522
328	0.8575018443
329	0.8573486272
330	0.8572597081
331	0.8571093457
332	0.8569609469
333	0.8568169559
334	0.8566780501
335	0.856531077
336	0.8563625718
337	0.8561589062
338	0.8559861975
339	0.8558556389
340	0.8557220389
341	0.8556257843
342	0.8556088145
343	0.855461269
344	0.8553003406
345	0.8552463782
346	0.8551218449
347	0.8549940625
348	0.8548837314
349	0.8547657886
350	0.8546422897
351	0.8545041071
352	0.8544340227
353	0.8543774491
354	0.8542598191
355	0.8542165206
356	0.8541693882
357	0.8540441702
358	0.8539935591
359	0.8538755581
360	0.8537770449
361	0.8535744447
362	0.8534510678
363	0.8533874269
364	0.8533003178
365	0.8532364369
366	0.853107098
367	0.85297729
368	0.8529136913
369	0.8527770966
370	0.8527307786
371	0.8526850121
372	0.852590782
373	0.8524263649
374	0.8523612634
375	0.8522522868
376	0.8520880091
377	0.851953992
378	0.8519174568
379	0.8517382279
380	0.8516539747
381	0.8515615414
382	0.8514866295
383	0.8514356483
384	0.8513622374
385	0.8513008345
386	0.8512097435
387	0.851119493
388	0.8509836218
389	0.850877666
390	0.8507955089
391	0.8507249658
392	0.8506584897
393	0.8505078831
394	0.8504648625
395	0.850418755
396	0.8503172717
397	0.8502735167
398	0.8502000541
399	0.8500651375
400	0.8500136611
401	0.8499170807
402	0.8498776329
403	0.8496865255
404	0.8496184725
405	0.8494944955
406	0.8494461446
407	0.8493923509
408	0.8493641531
409	0.8492504247
410	0.8491821815
411	0.8491089177
412	0.8490386988
413	0.8489413444
414	0.8488962873
415	0.8488600798
416	0.8488066747
417	0.8486297336
418	0.8485469938
419	0.848462154
420	0.8484092456
421	0.8483660764
422	0.8482215442
423	0.8481340116
424	0.8481111241
425	0.8480634317
426	0.8479212881
427	0.8478613986
428	0.84779727
429	0.8476794433
430	0.8476298948
431	0.8474674334
432	0.8474103927
433	0.8473458123
434	0.8473031624
435	0.8472161423
436	0.8471779677
437	0.847100369
438	0.8470356912
439	0.8470016844
440	0.8469677309
441	0.8468728323
442	0.8467669579
443	0.8467105518
444	0.8466508603
445	0.8465769138
446	0.84653947
447	0.846486833
448	0.8464652628
449	0.8463630759
450	0.8462702633
451	0.846214662
452	0.846127196
453	0.8460739959
454	0.8459699842
455	0.8459378431
456	0.8458961235
457	0.845879623
458	0.8458505361
459	0.8458042886
460	0.8457487339
461	0.8457239412
462	0.8456368218
463	0.8456049926
464	0.8455157182
465	0.8454234138
466	0.8453926819
467	0.8453574179
468	0.845268973
469	0.8452396482
470	0.8451903367
471	0.8451598152
472	0.8450874909
473	0.8449983958
474	0.8448940484
475	0.8448436106
476	0.8447375884
477	0.8446797751
478	0.8445952637
479	0.8445104059
480	0.8444703983
481	0.8443975528
482	0.8443560994
483	0.8442726524
484	0.8441585338
485	0.8440930247
486	0.8440451398
487	0.8439627465
488	0.8439219661
489	0.8438849986
490	0.8438066376
491	0.843753606
492	0.8436921308
493	0.8436269029
494	0.8435899254
495	0.8435438853
496	0.8434498922
497	0.843334871
498	0.8432893952
499	0.8431615637
500	0.8431099004
501	0.8430813568
502	0.8430573652
503	0.8430418824
504	0.8429847423
505	0.8429441465
506	0.8428668939
507	0.8427881638
508	0.8427353436
509	0.8426982221
510	0.842618545
511	0.8425748864
512	0.8425256874
513	0.8424413847
514	0.842375288
515	0.8423311219
516	0.8422218035
517	0.842166648
518	0.842149031
519	0.8420617372
520	0.8420040025
521	0.8419336875
522	0.841850475
523	0.8417806479
524	0.8417146108
525	0.8416146122
526	0.8415399389
527	0.8414498721
528	0.8414103576
529	0.8413293231
530	0.8413169895
531	0.8412925921
532	0.841215831
533	0.8411405382
534	0.8410917541
535	0.8409910674
536	0.840904048
537	0.8408585822
538	0.8408071011
539	0.8407772336
540	0.8407204325
541	0.8406637776
542	0.8406131112
543	0.8405469213
544	0.840507497
545	0.8404183917
546	0.840353783
547	0.8402680403
548	0.8402107882
549	0.8401383113
550	0.8400978978
551	0.8400752882
552	0.8400379415
553	0.8399398211
554	0.8399075228
555	0.8398616142
556	0.8398202264
557	0.8397681827
558	0.8396804092
559	0.8396189406
560	0.8395679414
561	0.8395257442
562	0.8394454377
563	0.8394200029
564	0.8393970309
565	0.8393494833
566	0.839294644
567	0.8392659905
568	0.8391938683
569	0.8391375319
570	0.8391245815
571	0.8391007256
572	0.8390853503
573	0.83905227
574	0.8390241462
575	0.839001353
576	0.8389532649
577	0.8389273859
578	0.8389075062
579	0.8388432496
580	0.8387491023
581	0.8386864875
582	0.8386498201
583	0.8386233001
584	0.8385658066
585	0.838509049
586	0.8384762524
587	0.8384589333
588	0.8383867954
589	0.8383523983
590	0.8383109954
591	0.8382998377
592	0.8382632018
593	0.8382504828
594	0.8381700158
595	0.8381173533
596	0.83808993
597	0.8380677307
598	0.8380283294
599	0.8380065751
600	0.8379649054
601	0.8379437821
602	0.8378592565
603	0.8378117951
604	0.8377663986
605	0.8377247466
606	0.837690862
607	0.8376788707
608	0.8376155382
609	0.8375841674
610	0.8375210002
611	0.837497833
612	0.8374182357
613	0.8373661382
614	0.8373143428
615	0.8372759144
616	0.8372470952
617	0.8372385913
618	0.8372113295
619	0.837165554
620	0.8371041415
621	0.8370384453
622	0.8370147361
623	0.8369429564
624	0.8368426922
625	0.836788865
626	0.8367718109
627	0.8367243014
628	0.8366954961
629	0.8366404534
630	0.8365930479
631	0.836538888
632	0.8365257423
633	0.836478031
634	0.8364568717
635	0.8364484803
636	0.836401466
637	0.8363255582
638	0.8362996965
639	0.836281863
640	0.8362403135
641	0.8362038678
642	0.8361394998
643	0.836094496
644	0.8360479469
645	0.8359865719
646	0.8359722647
647	0.8359580128
648	0.8359041738
649	0.8358862731
650	0.8358598035
651	0.835854342
652	0.8358220172
653	0.8357653763
654	0.8357398167
655	0.8356899218
656	0.8356527035
657	0.8355883672
658	0.8355672621
659	0.835534198
660	0.8354847229
661	0.8354452576
662	0.8353975624
663	0.8353428949
664	0.8353027813
665	0.835274424
666	0.8352240664
667	0.8352055195
668	0.835191619
669	0.8351278543
670	0.8351018269
671	0.8350619603
672	0.8350429074
673	0.83501373
674	0.8349865764
675	0.8349478831
676	0.8349127445
677	0.8348640684
678	0.8348158477
679	0.8348003921
680	0.8347636113
681	0.8347355972
682	0.8346998623
683	0.8346357423
684	0.8346213115
685	0.8346000079
686	0.8345726313
687	0.8345246741
688	0.8344852087
689	0.8344651477
690	0.8344495662
691	0.834431834
692	0.8343940604
693	0.8343647284
694	0.8343512896
695	0.8343286492
696	0.8343059375
697	0.8342549827
698	0.834248784
699	0.8342075142
700	0.8341659521
701	0.8341579428
702	0.8341389734
703	0.8341194138
704	0.8340575889
705	0.8340317427
706	0.8339883313
707	0.8339668253
708	0.8339586662
709	0.833936602
710	0.8339124167
711	0.8338626238
712	0.8338249419
713	0.8337840599
714	0.8337553446
715	0.8337282774
716	0.8336971243
717	0.8336298795
718	0.8336122568
719	0.8335943111
720	0.8335845902
721	0.8335558875
722	0.8335379831
723	0.8334959065
724	0.8334816311
725	0.8334379764
726	0.8333801722
727	0.833328891
728	0.8333130218
729	0.8332845143
730	0.833262536
731	0.8332420018
732	0.8331931368
733	0.833157842
734	0.8331468057
735	0.8331219755
736	0.8331107508
737	0.8330960927
738	0.8330745533
739	0.8330290705
740	0.832986751
741	0.832946145
742	0.8329153271
743	0.8328840213
744	0.8328541221
745	0.8328374168
746	0.8327966076
747	0.8327593321
748	0.8327358098
749	0.832691675
750	0.8326671162
751	0.8326388645
752	0.8325614215
753	0.8325503452
754	0.8325303923
755	0.8325233522
756	0.8324878085
757	0.8324579725
758	0.8324120671
759	0.832394967
760	0.8323796634
761	0.8323566982
762	0.8323261049
763	0.8323130453
764	0.8322798641
765	0.8322436574
766	0.8322078963
767	0.8321828754
768	0.8321526288
769	0.8321278758
770	0.832082125
771	0.8320221728
772	0.8319977757
773	0.8319568601
774	0.8319205428
775	0.8318941691
776	0.8318736111
777	0.8318448458
778	0.831824835
779	0.8317952969
780	0.8317472605
781	0.8317231912
782	0.8316774753
783	0.8316533877
784	0.8316397648
785	0.8316224527
786	0.8315928483
787	0.8315786733
788	0.8315522521
789	0.8315195699
790	0.8314824054
791	0.8314504258
792	0.8314297378
793	0.8314114816
794	0.8313816232
795	0.8313607911
796	0.831345585
797	0.8313006971
798	0.8312784797
799	0.8312309983
800	0.8311965948
801	0.8311420485
802	0.8311184552
803	0.8311047643
804	0.8310916222
805	0.8310730859
806	0.8310435586
807	0.8310219783
808	0.8309992564
809	0.8309919079
810	0.8309647876
811	0.8308908822
812	0.8308542604
813	0.8308007758
814	0.8307943159
815	0.8307596503
816	0.8307520359
817	0.8307195051
818	0.8306983879
819	0.8306715929
820	0.8306646214
821	0.8306215003
822	0.8306031565
823	0.8305707983
824	0.8305422647
825	0.8305123211
826	0.8304885808
827	0.8304624535
828	0.8304233525
829	0.8303871826
830	0.8303740653
831	0.8303644772
832	0.8303039155
833	0.830227311
834	0.8302090771
835	0.8301911004
836	0.8301378393
837	0.8301210217
838	0.8300904458
839	0.8300703772
840	0.8300319218
841	0.8300139261
842	0.8299807176
843	0.8299614456
844	0.8299280733
845	0.8299114363
846	0.8298866514
847	0.82986117
848	0.8298429937
849	0.8297980512
850	0.829742327
851	0.8297349826
852	0.8296925375
853	0.8296779837
854	0.8296569678
855	0.829640205
856	0.8296077405
857	0.8295693618
858	0.8295256469
859	0.8295104379
860	0.8294785105
861	0.8294491548
862	0.8294014411
863	0.8293795569
864	0.8293282306
865	0.829318783
866	0.8292712261
867	0.8292428021
868	0.8292073466
869	0.8292008442
870	0.8291869876
871	0.8291467856
872	0.8291286338
873	0.8291093934
874	0.8290887004
875	0.8290784283
876	0.8290437155
877	0.8290345087
878	0.8290137997
879	0.8289815168
880	0.8289733483
881	0.8289420728
882	0.8289221913
883	0.8289157033
884	0.828890868
885	0.8288717039
886	0.8288653597
887	0.8288595309
888	0.8288391347
889	0.8288028829
890	0.8287587066
891	0.8287452489
892	0.8287094233
893	0.8286887357
894	0.828655302
895	0.8286213868
896	0.8286102933
897	0.8286059428
898	0.8285936409
899	0.8285793076
900	0.8285474231
901	0.8285371418
902	0.8285147586
903	0.8285047397
904	0.8284915586
905	0.8284729589
906	0.8284570779
907	0.8284361469
908	0.8283989183
909	0.8283910964
910	0.8283802524
911	0.8283725193
912	0.82836638
913	0.828359559
914	0.8283449048
915	0.8283174609
916	0.8283023415
917	0.8282722928
918	0.8282568854
919	0.8282351184
920	0.8282177663
921	0.8282149734
922	0.8281869877
923	0.8281715538
924	0.8281367159
925	0.8281224519
926	0.8281104453
927	0.8281053806
928	0.8280902081
929	0.8280668708
930	0.8280364304
931	0.8280224486
932	0.8280115273
933	0.8280033057
934	0.8279685587
935	0.8279131784
936	0.8278887058
937	0.8278820555
938	0.8278716592
939	0.827842594
940	0.8278056935
941	0.8277831395
942	0.8277518625
943	0.8277315248
944	0.8277221625
945	0.8276890033
946	0.8276273799
947	0.8276114912
948	0.8275895395
949	0.8275580764
950	0.8275443088
951	0.8275229949
952	0.8275036566
953	0.8274622843
954	0.8274425812
955	0.8274123807
956	0.8273806384
957	0.8273701094
958	0.8273472708
959	0.8272991253
960	0.8272859696
961	0.8272735613
962	0.8272548472
963	0.827237831
964	0.8272292252
965	0.8272133479
966	0.8271839452
967	0.8271650386
968	0.969	0.8454677861
970	0.8454456969
971	0.8454160619
972	0.8453834903
973	0.8453507589
974	0.8453401484
975	0.8453068877
976	0.8452679438
977	0.8452470493
978	0.8452138643
979	0.8451934558
980	0.8451710295
981	0.8451551865
982	0.8451414558
983	0.8451134577
984	0.8450783222
985	0.8450703685
986	0.8450208753
987	0.8449918253
988	0.8449791276
989	0.8449371735
990	0.844916379
991	0.8449029319
992	0.8448875903
993	0.8448550278
994	0.8448446893
995	0.8448306981
996	0.8448225777
997	0.8448071277
998	0.8447860223
999	0.8447547858
65554056
2901
29
667
